time,RRP
1516402800,105.0
1516404600,105.0
1516406400,105.0
1516408200,105.0
1516410000,118.43
1516411800,130.49
1516413600,111.44
1516415400,107.7
1516417200,109.05
1516419000,106.72
1516420800,105.0
1516422600,105.0
1516424400,113.45
1516426200,120.74
1516428000,116.63
1516429800,109.87
1516431600,105.0
1516433400,113.28
1516435200,107.04
1516437000,105.0
1516438800,107.62
1516440600,111.74
1516442400,104.43
1516444200,103.13
1516446000,125.26
1516447800,98.93
1516449600,103.65
1516451400,81.41
1516453200,79.24
1516455000,89.09
1516456800,98.62
1516458600,65.55
1516460400,68.21
1516462200,81.09
1516464000,70.44
1516465800,73.5
1516467600,75.42
1516469400,60.95
1516471200,60.57
1516473000,62.0
1516474800,66.08
1516476600,69.87
1516478400,71.22
1516480200,82.86
1516482000,110.97
1516483800,96.49
1516485600,114.09
1516487400,121.62
1516489200,135.78
1516491000,149.98
1516492800,189.56
1516494600,131.59
1516496400,169.27
1516498200,226.98
1516500000,199.6
1516501800,245.72
1516503600,163.94
1516505400,206.76
1516507200,316.66
1516509000,216.27
1516510800,266.62
1516512600,985.57
1516514400,172.04
1516516200,166.06
1516518000,151.0
1516519800,198.5
1516521600,199.81
1516523400,170.17
1516525200,164.16
1516527000,129.28
1516528800,119.31
1516530600,168.79
1516532400,158.58
1516534200,144.86
1516536000,153.3
1516537800,136.71
1516539600,125.67
1516541400,123.59
1516543200,125.67
1516545000,132.55
1516546800,173.5
1516548600,136.93
1516550400,116.47
1516552200,112.23
1516554000,107.31
1516555800,110.54
1516557600,119.04
1516559400,128.55
1516561200,125.74
1516563000,130.69
1516564800,134.44
1516566600,210.27
1516568400,144.74
1516570200,104.66
1516572000,114.61
1516573800,124.1
1516575600,132.89
1516577400,141.2
1516579200,141.44
1516581000,143.51
1516582800,178.1
1516584600,140.46
1516586400,142.6
1516588200,132.41
1516590000,133.79
1516591800,125.99
1516593600,133.43
1516595400,130.71
1516597200,130.26
1516599000,164.06
1516600800,163.76
1516602600,131.73
1516604400,118.63
1516606200,107.68
1516608000,105.69
1516609800,105.69
1516611600,104.93
1516613400,107.63
1516615200,108.8
1516617000,108.01
1516618800,98.74
1516620600,93.67
1516622400,88.79
1516624200,104.41
1516626000,98.27
1516627800,145.14
1516629600,167.37
1516631400,107.08
1516633200,84.03
1516635000,69.79
1516636800,65.03
1516638600,75.2
1516640400,73.61
1516642200,78.22
1516644000,72.72
1516645800,75.55
1516647600,74.17
1516649400,101.99
1516651200,96.87
1516653000,102.49
1516654800,111.91
1516656600,105.09
1516658400,120.49
1516660200,119.25
1516662000,119.01
1516663800,115.15
1516665600,114.03
1516667400,115.44
1516669200,115.53
1516671000,114.22
1516672800,116.45
1516674600,117.05
1516676400,116.64
1516678200,115.32
1516680000,120.8
1516681800,121.54
1516683600,119.22
1516685400,129.58
1516687200,128.24
1516689000,126.77
1516690800,127.9
1516692600,111.1
1516694400,107.78
1516696200,107.34
1516698000,117.94
1516699800,118.12
1516701600,110.77
1516703400,104.99
1516705200,120.53
1516707000,104.79
1516708800,104.79
1516710600,94.51
1516712400,93.36
1516714200,122.46
1516716000,150.21
1516717800,107.37
1516719600,176.03
1516721400,113.06
1516723200,107.27
1516725000,99.12
1516726800,84.48
1516728600,79.03
1516730400,78.13
1516732200,75.48
1516734000,83.55
1516735800,101.67
1516737600,64.85
1516739400,89.1
1516741200,108.62
1516743000,94.74
1516744800,93.47
1516746600,103.16
1516748400,104.79
1516750200,109.15
1516752000,107.22
1516753800,110.57
1516755600,117.07
1516757400,117.76
1516759200,115.57
1516761000,118.2
1516762800,122.9
1516764600,123.58
1516766400,129.48
1516768200,125.84
1516770000,137.4
1516771800,121.56
1516773600,127.82
1516775400,119.47
1516777200,116.43
1516779000,107.38
1516780800,100.71
1516782600,98.44
1516784400,106.14
1516786200,106.21
1516788000,105.95
1516789800,111.73
1516791600,116.82
1516793400,130.95
1516795200,104.33
1516797000,91.45
1516798800,92.2
1516800600,104.25
1516802400,124.46
1516804200,99.69
1516806000,93.86
1516807800,89.65
1516809600,95.76
1516811400,92.33
1516813200,94.29
1516815000,89.54
1516816800,91.35
1516818600,92.06
1516820400,98.03
1516822200,125.7
1516824000,113.41
1516825800,131.67
1516827600,121.87
1516829400,112.78
1516831200,115.54
1516833000,115.95
1516834800,118.42
1516836600,129.11
1516838400,117.18
1516840200,118.62
1516842000,123.01
1516843800,134.9
1516845600,126.89
1516847400,119.88
1516849200,126.54
1516851000,122.96
1516852800,122.27
1516854600,132.02
1516856400,132.1
1516858200,116.34
1516860000,2472.93
1516861800,116.08
1516863600,95.09
1516865400,94.48
1516867200,98.89
1516869000,93.62
1516870800,89.45
1516872600,89.0
1516874400,90.27
1516876200,90.45
1516878000,77.85
1516879800,79.12
1516881600,83.05
1516883400,87.11
1516885200,84.43
1516887000,90.58
1516888800,89.21
1516890600,75.69
1516892400,75.21
1516894200,68.05
1516896000,58.98
1516897800,67.55
1516899600,56.23
1516901400,52.78
1516903200,52.81
1516905000,52.8
1516906800,53.9
1516908600,56.4
1516910400,54.2
1516912200,57.62
1516914000,66.73
1516915800,63.54
