time,kW
1530567300,-0.17022823146422003
1530567600,-0.32326127438048996
1530567900,-1.20686129640909
1530568200,-3.1023431964536896
1530568500,-5.528177813671524
1530568800,-8.282181490884767
1530569100,-9.075463638588072
1530569400,-11.36836648193683
1530569700,-13.217397921207423
1530570000,-17.259611403504014
1530570300,-18.65850796928156
1530570600,-20.171025883874748
1530570900,-28.33092926810174
1530571200,-34.20189796169258
1530571500,-40.90415761995179
1530571800,-46.747989096503545
1530572100,-50.809519613250835
1530572400,-55.658907491479376
1530572700,-68.06939055751435
1530573000,-79.30091947061689
1530573300,-85.66086920117797
1530573600,-79.78485901408982
1530573900,-85.45753074223057
1530574200,-96.31198280710832
1530574500,-94.84995214013102
1530574800,-100.98555552902828
1530575100,-104.07429667418504
1530575400,-103.23308833094046
1530575700,-108.96774462647585
1530576000,-91.12561658359822
1530576300,-92.32552081057871
1530576600,-112.36149319640872
1530576900,-125.14108825115842
1530577200,-128.5285589117714
1530577500,-138.25386860351554
1530577800,-131.0057110399562
1530578100,-140.8768011608218
1530578400,-143.5104447353009
1530578700,-126.25456811127293
1530579000,-114.79350540659965
1530579300,-94.88698574409952
1530579600,-117.38233362532974
1530579900,-166.80752813363262
1530580200,-187.7879260687645
1530580500,-152.58551025238134
1530580800,-164.86049540965436
1530581100,-200.91430288251348
1530581400,-203.17531664737285
1530581700,-182.14732258387167
1530582000,-165.39420572425496
1530582300,-164.14735491053028
1530582600,-190.58476746637217
1530582900,-194.98023644514774
1530583200,-169.69545780554824
1530583500,-160.42967248556488
1530583800,-179.5295782572217
1530584100,-188.72623792435434
1530584400,-174.69796861545197
1530584700,-189.34479398132962
1530585000,-220.6439061521551
1530585300,-225.89095055727952
1530585600,-222.06888093361988
1530585900,-216.7221803694228
1530586200,-216.80172999658356
1530586500,-209.1405804464157
1530586800,-214.26351623023157
1530587100,-198.82527441673835
1530587400,-142.66679650315507
1530587700,-135.91908291746398
1530588000,-184.72795533148772
1530588300,-208.87705517529486
1530588600,-212.8754996223244
1530588900,-193.33296456153977
1530589200,-186.97727961944406
1530589500,-161.8568185968364
1530589800,-145.23687525601488
1530590100,-133.40124018429114
1530590400,-128.85619763862547
1530590700,-111.83666045146502
1530591000,-82.14370410205346
1530591300,-87.93187315894286
1530591600,-108.81490932309335
1530591900,-131.61417488467146
1530592200,-144.29412928581408
1530592500,-144.19785971823038
1530592800,-136.26215783195858
1530593100,-121.8570602385015
1530593400,-111.93662035499614
1530593700,-106.32197814013712
1530594000,-95.62019954361301
1530594300,-87.24247414984868
1530594600,-71.90226335233316
1530594900,-67.63856937642227
1530595200,-67.25811190352616
1530595500,-60.698364781904466
1530595800,-53.20230743606006
1530596100,-46.79841016730751
1530596400,-37.960552317202065
1530596700,-31.879462464705085
1530597000,-26.511341431616206
1530597300,-17.69194396082819
1530597600,-7.032282420219814
1530597900,-2.89542572658633
1530598200,-1.51336304461823
1530598500,-1.14804347301911
1530598800,-1.6613984059412998
1530599100,-2.164951195978466
1530599400,-1.1672082778883301
